,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
297,Mogok,MM,22.9167,96.5,70.34,30,100,2.19,overcast clouds
298,Aktash,RU,50.3,87.7333,15.42,93,100,4.12,overcast clouds
299,Praya,CV,14.9215,-23.5087,69.8,68,40,25.32,scattered clouds
300,Calvinia,ZA,-31.4707,19.776,69.87,26,56,1.21,broken clouds
301,Tautira,PF,-17.7333,-149.15,86.0,62,20,3.44,light rain
302,Odweyne,SO,9.4092,45.064,74.35,38,32,11.9,scattered clouds
303,Iqaluit,CA,63.7506,-68.5145,14.0,73,75,13.8,light snow
304,Kununurra,AU,-15.7667,128.7333,75.2,94,100,4.14,overcast clouds
305,Launceston,AU,-41.45,147.1667,48.0,65,5,3.44,clear sky
306,Yanam,IN,16.7333,82.2167,74.34,93,4,1.77,clear sky
307,Byron Bay,AU,-28.65,153.6167,64.4,94,2,7.63,clear sky
308,Ayios Yeoryios,GR,38.4,22.9333,51.01,59,0,4.0,clear sky
309,Frederico Westphalen,BR,-27.3592,-53.3944,81.0,70,96,3.0,overcast clouds
310,Richards Bay,ZA,-28.783,32.0377,69.4,73,98,6.35,overcast clouds
311,Karratha,AU,-20.7377,116.8463,87.04,45,74,6.82,broken clouds
312,Manono,CD,-7.3,27.4167,70.83,90,98,3.31,light rain
313,Sur,OM,22.5667,59.5289,83.57,39,94,8.08,overcast clouds
314,Salalah,OM,17.0151,54.0924,80.6,61,0,3.44,clear sky
315,Healdsburg,US,38.6105,-122.8692,75.0,26,0,4.16,clear sky
316,Kielce,PL,50.8703,20.6275,39.0,1,32,4.32,scattered clouds
317,Adrar,MR,20.5022,-10.0711,84.99,7,100,7.02,overcast clouds
318,Macusani,PE,-14.0833,-70.4333,43.65,81,97,7.0,overcast clouds
319,The Pas,CA,53.8251,-101.2541,30.2,80,90,21.85,light snow
320,Bathsheba,BB,13.2167,-59.5167,82.4,61,40,20.71,scattered clouds
321,Kyra,RU,49.5776,111.9753,20.57,78,7,4.83,clear sky
322,Songkhla,TH,6.8333,100.6667,75.2,100,75,4.61,broken clouds
323,Port Blair,IN,11.6667,92.75,80.91,75,35,3.2,scattered clouds
324,Vardo,NO,70.3705,31.1107,32.0,80,20,12.66,few clouds
325,Jacmel,HT,18.2342,-72.5347,91.4,38,20,16.11,few clouds
326,La Peca,PE,-5.6111,-78.435,80.26,63,67,2.55,light rain
327,Jieshi,CN,22.8134,115.8257,75.0,90,3,7.49,clear sky
328,Anori,BR,-3.7728,-61.6442,83.28,75,84,3.69,broken clouds
329,Carupano,VE,10.6678,-63.2585,80.06,76,30,12.46,scattered clouds
330,Zabol,AF,32.25,67.25,58.86,28,0,10.92,clear sky
331,Kemi,FI,65.8596,24.8228,37.4,93,0,11.5,clear sky
332,Presque Isle,US,46.6811,-68.0159,32.0,86,90,16.11,light snow
333,Gorin,RU,51.1983,136.6669,28.62,97,100,4.76,overcast clouds
334,Kargil,IN,34.5667,76.1,33.87,90,95,7.43,light snow
335,Nagapattinam,IN,10.7667,79.8333,80.55,81,60,8.52,broken clouds
336,San Policarpo,PH,12.1791,125.5072,80.02,82,100,9.75,overcast clouds
337,Egvekinot,RU,66.3167,-179.1667,7.83,92,100,13.31,light snow
338,Lanivtsi,UA,49.8633,26.0908,36.36,79,75,11.39,broken clouds
339,Tornabe,HN,15.75,-87.55,87.8,74,20,11.5,few clouds
340,Brownwood,US,31.7093,-98.9912,68.0,26,1,11.5,clear sky
341,Bay Roberts,CA,47.5999,-53.2648,30.0,65,97,1.99,overcast clouds
342,Denpasar,ID,-8.65,115.2167,77.0,94,40,2.3,light rain
343,Makakilo City,US,21.3469,-158.0858,77.0,60,1,10.36,clear sky
344,Quelimane,MZ,-17.8786,36.8883,78.8,89,20,2.3,few clouds
345,Karad,IN,17.2833,74.2,77.4,64,86,5.41,overcast clouds
346,Dwarka,IN,22.2394,68.9678,78.58,75,33,12.59,scattered clouds
347,Puerto Escondido,MX,15.85,-97.0667,87.8,74,1,6.91,clear sky
348,Rancho Palos Verdes,US,33.7445,-118.387,80.6,14,1,6.67,clear sky
