City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
242,Santa Maria,BR,2021-03-24 20:04:59,-29.6842,-53.8069,80.6,69,40,11.5
243,Ahipara,NZ,2021-03-24 20:09:51,-35.1667,173.1667,60.4,75,1,3.42
244,Adre,TD,2021-03-24 20:09:52,13.4667,22.2,85.71,12,4,14.14
245,Riyadh,SA,2021-03-24 20:05:05,24.6877,46.7219,89.6,10,0,10.36
246,Hambantota,LK,2021-03-24 20:06:09,6.1241,81.1185,78.31,83,100,9.04
247,Comodoro Rivadavia,AR,2021-03-24 20:09:52,-45.8667,-67.5,66.2,34,0,9.22
248,San Cristobal,VE,2021-03-24 20:09:52,7.7669,-72.225,84.2,65,40,6.91
249,Clarence Town,AU,2021-03-24 20:09:52,-32.5833,151.7833,64.99,72,57,9.22
250,Port Lincoln,AU,2021-03-24 20:09:52,-34.7333,135.8667,60.48,72,29,12.44
251,Tuktoyaktuk,CA,2021-03-24 20:09:53,69.4541,-133.0374,-5.8,77,40,8.05
252,Mtwara,TZ,2021-03-24 20:09:53,-10.2667,40.1833,77.0,94,20,9.22
253,Berlevag,NO,2021-03-24 20:09:53,70.8578,29.0864,35.6,75,0,11.5
254,Lebu,CL,2021-03-24 20:09:53,-37.6167,-73.65,57.79,63,0,17.9
255,Puerto Narino,CO,2021-03-24 20:09:54,-3.7703,-70.3831,77.0,100,75,10.36
256,Kahului,US,2021-03-24 20:09:54,20.8947,-156.47,80.6,69,40,6.91
257,Hendek,TR,2021-03-24 20:09:54,40.7994,30.7481,33.8,100,75,1.14
258,Sakakah,SA,2021-03-24 20:09:54,29.9697,40.2064,71.6,21,0,10.36
259,Ixtapa,MX,2021-03-24 20:09:54,20.7,-105.2,75.2,64,40,9.22
260,Boundiali,CI,2021-03-24 20:09:55,9.5217,-6.4869,86.74,30,100,3.65
261,Tautira,PF,2021-03-24 20:09:55,-17.7333,-149.15,87.8,66,75,8.05
